len_procotol2path,ip_exist,len_hostname,www_exist,TLD_exist,SLD_decimal,TLD_decimal,len_path,num_directory_max,path_exist_date,path_exist_hex,label
31,0,24,0,0,0,0,1,0,0,0,0,0
21,0,14,0,0,0,0,5,2,3,0,0,0
23,0,16,1,0,0,0,24,3,10,0,1,0
22,0,15,0,0,0,0,1,0,0,0,0,0
29,0,22,0,0,0,0,1,0,0,0,0,0
24,0,17,0,0,0,0,18,3,9,0,0,0
26,0,19,0,0,0,0,1,0,0,0,0,0
24,0,17,0,0,0,0,32,3,12,0,1,0
26,0,19,1,0,0,0,12,1,11,0,0,0
24,0,17,0,0,0,0,23,3,14,0,0,0
35,0,28,1,0,0,0,12,2,10,0,0,0
23,0,16,0,0,0,0,1,0,0,0,0,0
22,0,15,0,0,0,0,1,0,0,0,0,0
28,0,21,0,0,0,0,1,0,0,0,0,0
28,0,21,0,0,0,0,1,0,0,0,0,0
27,0,20,0,0,0,0,1,0,0,0,0,0
20,0,13,0,0,0,0,1,0,0,0,0,0
22,0,15,0,0,0,0,1,0,0,0,0,0
23,0,16,0,0,0,0,1,0,0,0,0,0
31,0,24,0,0,0,0,24,2,18,0,0,0
29,0,22,1,0,0,0,1,0,0,0,0,0
29,0,22,0,0,0,0,8,2,6,0,0,0
30,0,23,0,0,0,0,1,0,0,0,0,0
25,0,18,0,0,0,0,29,2,17,0,0,0
26,0,19,0,1,0,0,23,2,13,0,0,0
30,0,23,0,0,0,0,10,1,9,0,0,0
25,0,18,0,0,0,0,14,2,12,0,1,0
24,0,17,0,0,0,0,25,3,10,0,1,0
25,0,18,1,0,0,0,21,2,10,0,0,0
30,0,23,1,0,0,0,22,2,18,0,0,0
24,0,17,0,0,0,0,18,3,9,0,0,0
24,0,17,0,0,0,0,14,3,6,0,0,0
20,0,13,1,0,0,0,1,0,0,0,0,0
22,0,15,0,0,0,0,11,2,6,0,0,0
28,0,21,0,0,0,0,1,0,0,0,0,0
32,0,25,1,0,0,0,11,2,9,0,0,0
23,0,16,0,1,0,0,26,3,10,0,1,0
27,0,20,0,0,0,0,1,0,0,0,0,0
24,0,17,0,0,0,0,27,3,10,0,1,0
23,0,16,1,0,0,0,35,3,27,0,0,0
24,0,17,1,0,0,0,27,5,10,0,1,0
25,0,18,1,0,0,0,29,3,10,0,1,0
25,0,18,0,0,1,0,1,0,0,0,0,0
28,0,21,0,0,0,0,18,3,9,0,1,0
24,0,17,0,0,0,0,17,3,9,0,1,0
24,0,17,0,0,0,0,14,3,9,0,0,0
24,0,17,0,0,0,0,19,3,9,0,1,0
28,0,21,0,0,0,0,19,3,9,0,1,0
21,0,14,0,0,0,0,19,3,9,0,1,0
21,0,14,0,0,0,0,18,3,9,0,1,0
28,0,21,0,0,0,0,13,3,5,0,0,0
31,0,24,0,0,1,0,1,0,0,0,0,0
27,0,20,0,0,0,0,1,0,0,0,0,0
26,0,19,0,0,0,0,1,0,0,0,0,0
26,0,19,0,0,0,0,1,0,0,0,0,0
28,0,21,0,0,0,0,1,0,0,0,0,0
23,0,16,0,0,0,0,1,0,0,0,0,0
25,0,18,0,0,0,0,1,0,0,0,0,0
26,0,19,0,0,0,0,1,0,0,0,0,0
24,0,17,0,0,0,0,1,0,0,0,0,0
25,0,18,0,0,0,0,38,2,27,0,0,0
25,0,18,1,0,0,0,9,2,7,0,0,0
26,0,19,0,0,0,0,1,0,0,0,0,0
24,0,17,0,0,0,0,15,2,10,0,0,0
25,0,18,0,0,0,0,30,2,19,0,0,0
24,0,17,0,0,0,0,16,3,7,0,0,0
24,0,17,0,0,0,0,20,3,11,0,0,0
24,0,17,0,0,0,0,24,3,17,0,0,0
24,0,17,0,0,0,0,14,2,9,0,0,0
25,0,18,0,0,0,0,32,2,21,0,0,0
23,0,16,1,0,0,0,27,3,19,0,0,0
24,0,17,0,0,0,0,41,4,11,0,1,0
24,0,17,0,0,0,0,13,3,6,0,0,0
24,0,17,0,0,0,0,14,2,9,0,0,0
25,0,18,0,0,0,0,32,2,21,0,0,0
25,0,18,0,0,0,0,34,2,23,0,0,0
24,0,17,0,0,0,0,13,2,8,0,0,0
23,0,16,1,0,0,0,16,2,8,0,0,0
26,0,19,0,1,0,0,9,1,8,0,0,0
20,0,13,0,0,0,0,35,4,15,0,1,0
29,0,22,0,0,0,0,23,2,11,0,0,0
19,0,12,0,0,0,0,19,2,10,0,0,0
24,0,17,0,0,0,0,13,2,8,0,0,0
25,0,18,0,0,0,0,40,2,29,0,0,0
32,0,25,1,0,0,0,11,2,9,0,0,0
32,0,25,1,0,0,0,10,2,8,0,0,0
32,0,25,1,0,0,0,12,2,10,0,0,0
32,0,25,1,0,0,0,13,2,11,0,1,0
32,0,25,1,0,0,0,10,2,8,0,0,0
32,0,25,1,0,0,0,11,2,9,0,0,0
32,0,25,1,0,0,0,10,2,8,0,0,0
32,0,25,1,0,0,0,15,2,13,0,0,0
32,0,25,1,0,0,0,15,2,13,0,1,0
32,0,25,1,0,0,0,17,2,15,0,0,0
31,0,24,1,0,0,0,1,0,0,0,0,0
32,0,25,1,0,0,0,1,0,0,0,0,0
24,0,17,0,0,0,0,22,3,9,0,1,0
33,0,26,0,0,0,0,1,0,0,0,0,0
22,0,15,1,0,0,0,1,0,0,0,0,0
23,0,16,0,0,0,0,1,0,0,0,0,0
29,0,22,0,0,0,0,13,2,9,0,1,0
24,0,17,1,0,0,0,23,5,10,0,1,0
24,0,17,1,0,0,0,27,4,10,0,1,0
22,0,15,0,0,0,0,8,2,6,0,0,0
27,0,20,0,0,0,0,30,4,12,0,1,0
29,0,22,0,0,0,0,1,0,0,0,0,0
26,0,19,0,0,0,0,27,3,9,0,0,0
24,0,17,1,0,0,0,24,5,10,0,1,0
24,0,17,1,0,0,0,25,5,10,0,1,0
29,0,22,1,0,0,0,1,0,0,0,0,0
